Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
487262	Post doctorate or almost	Male	No	British	NA	
503846	"Students (BSc, MSc, PhD)"	Male	No	French	NA	
481960	Professor or associate	No answer	No answer	British	NA	
487022	Professor or associate	Male	No	German	NA	
487318	"Students (BSc, MSc, PhD)"	Male	Yes	British	NA	
487660	"Students (BSc, MSc, PhD)"	Female	No	Chinese	NA	
497635	"Students (BSc, MSc, PhD)"	Male	Yes	Chinese	NA	
486982	Professor or associate	Female	No	Chinese	NA	
487414	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
475651	"Students (BSc, MSc, PhD)"	Female	No	French	NA	
503141	Professor or associate	Male	No	Hungarian	NA	
488880	Professor or associate	Female	No	Finnish	NA	
486309	"Students (BSc, MSc, PhD)"	Female	No	Hong Kongers	NA	
493926	"Students (BSc, MSc, PhD)"	Male	No	Ecuadorian	NA	
487273	Post doctorate or almost	Female	Yes	Dual nationality	NA	
487387	"Students (BSc, MSc, PhD)"	No answer	No	Taiwanese	NA	
487396	"Students (BSc, MSc, PhD)"	Female	No answer	German	NA	
486558	"Students (BSc, MSc, PhD)"	Female	No	Swiss	NA	
486714	"Senior position, lecturers, researchers"	Female	Yes	German	NA	
422422	"Students (BSc, MSc, PhD)"	Male	No	German	NA	
487319	"Students (BSc, MSc, PhD)"	Male	No	Chinese	NA	
497649	Post doctorate or almost	Gender queer	No answer	Chinese	NA	
488725	Professor or associate	No answer	No answer	NA	NA	
487099	"Students (BSc, MSc, PhD)"	Female	No	Indian	no	
487283	Post doctorate or almost	Female	No answer	Japanese	NA	
486611	"Students (BSc, MSc, PhD)"	Male	No	Mauritian	NA	
488532	Professor or associate	Male	No	German	NA	
505936	Post doctorate or almost	Male	No	Indian	NA	
506720	Professor or associate	Female	No	Finnish	no	
403243	Post doctorate or almost	Female	No	Turkish	NA	
474864	"Students (BSc, MSc, PhD)"	Female	No	Canadian	NA	
504921	"Students (BSc, MSc, PhD)"	Male	No	NA	NA	
